Building,Room Number
ENG,106
ENG,107
ENG,108
ENG,109
ENG,110
ENG,114
ENG,117
ENG,123
ENG,124
ENG,125
ENG,134
ENG,135
ENG,138
ENG,140
ENG,141
ENG,142
ENG,143
ENG,144
ENG,145
ENG,152
ENG,156
ENG,157
ENG,205
ENG,207
ENG,208
ENG,209
ENG,214
ENG,216
ENG,219
ENG,225
ENG,226
ENG,227
ENG,228
ENG,229
ENG,238
ENG,239
ENG,240
ENG,244
ENG,245
ENG,246
ENG,247
ENG,248
ENG,249
ENG,252
ENG,262
ENG,264
OKT,102
OKT,103
OKT,104
OKT,105
OKT,106
OKT,114
OKT,117
OKT,119
OKT,122
OKT,132
OKT,133
OKT,140
OKT,142
OKT,152
OKT,153
OKT,155
OKT,202
OKT,204
OKT,210
OKT,214
OKT,216
OKT,225
OKT,227
OKT,275
OKT,278
OKT,279
OKT,324
OKT,326
OKT,327
OKT,328
OKT,329
OKT,342
