Course Section,Faculty Assignment,Room Preferences,Time Block Preferences,Day Preferences,Seats Open
CS100-01,Dr. Mike,OKT300,DFG,MW,10
CS106-01,Dr. Able,OKT256,A,TR,3
CS134-01,Dr. Charlie,OKT342,B,MW,20
CS136-01,Dr. Golf,OKT102,AG,TR,60
CS158-01,Dr. Echo,OKT101,DF,MW,60
CS172-01,Dr. Kilo,OKT105,FD,TR,60
CS193-01,Dr. Oscar,OKT106,GB,TR,60
CS199-01,Dr. India,OKT190,ABC,MW,60
CS217-01,Dr. Oscar,OKT201,BC,MW,60
CS225-01,Dr. Golf,OKT220,A,TR,60
CS241-01,Dr. Mike,OKT230,A,MW,60
CS242-01,Dr. Kilo,OKT350,A,MW,60
CS245-01,Dr. India,OKT240,ABC,MW,3
CS253-01,Dr. Echo,OKT245,A,MW,60
CS257-01,Dr. Able,OKT154,A,MW,60
CS299-01,Dr. Charlie,OKT253,A,MW,60
CS305-01,Dr. Kilo,OKT170,A,MW,60
CS306-01,Dr. Golf,OKT189,A,MW,60
CS309-01,Dr. Lima,OKT188,A,TR,60
CS316-01,Dr. Hotel,OKT195,A,TR,60
CS325-01,Dr. India,OKT121,ABC,TR,60
CS330-01,Dr. Echo,OKT167,A,TR,60
CS334-01,Dr. November,OKT,BC,TR,60
CS353-01,Dr. Foxtrot,OKT,BD,TR,60
CS367-01,Dr. Charlie,OKT,BG,TR,60
CS378-01,Dr. Able,OKT,BD,MW,60
CS384-01,Dr. Mike,OKT,C,MW,60
CS385-01,Dr. Dog,OKT133,D,MW,60
CS391-01,Dr. Juliet,OKT200,E,MW,60
CS395-01,Dr. Brovo,OKT198,FD,TR,60
CS397-01,Dr. Oscar,OKT,GAB,MW,60
CS406-01,Dr. Lima,OKT,G,TR,60
CS416-01,Dr. Brovo,OKT,G,TR,60
CS433-01,Dr. Hotel,OKT,F,TR,60
CS452-01,Dr. Foxtrot,OKT,F,MW,60
CS458-01,Dr. Juliet,OKT,F,MW,60
CS465-01,Dr. Dog,OKT,CF,MW,60
CS471-01,Dr. November,OKT,CF,TR,60
CS527-01,Dr. Lima,OKT,CF,MW,60
CS532-01,Dr. Foxtrot,OKT,BE,MW,60
CS540-01,Dr. Hotel,OKT,FBA,MW,60
CS561-01,Dr. Juliet,OKT,FBA,MW,60
CS567-01,Dr. Dog,OKT,D,TR,60
CS574-01,Dr. November,OKT,B,TR,60
CS585-01,Dr. Brovo,OKT,A,TR,60
